mmu:18822	ec:1.14.11.4
mmu:71984	ec:6.1.1.11
mmu:73744	ec:3.2.1.24
mmu:74156	ec:3.1.2.1
mmu:75572	ec:3.6.1.7
mmu:19211	ec:3.1.3.16
mmu:19211	ec:3.1.3.48
mmu:19211	ec:3.1.3.67
mmu:76898	ec:2.4.1.135
mmu:19701	ec:3.4.23.15
mmu:19719	ec:2.4.1.222
mmu:20322	ec:1.1.1.14
mmu:20887	ec:2.8.2.1
mmu:20905	ec:3.1.6.2
mmu:79059	ec:2.7.4.6
mmu:22122	ec:1.1.1.271
mmu:80914	ec:2.7.1.48
mmu:22236	ec:2.4.1.17
mmu:22619	ec:3.1.1.53
mmu:94284	ec:2.4.1.17
mmu:104112	ec:2.3.3.8
mmu:104458	ec:6.1.1.19
mmu:26565	ec:3.1.1.4
mmu:53897	ec:2.8.2.11
mmu:107885	ec:6.3.3.2
mmu:109785	ec:5.4.2.3
mmu:109801	ec:4.4.1.5
mmu:109900	ec:4.3.2.1
mmu:110006	ec:3.2.1.31
mmu:110095	ec:2.4.1.1
mmu:56248	ec:2.7.4.10
mmu:110197	ec:2.7.1.107
mmu:66694	ec:7.1.1.8
mmu:208211	ec:2.4.1.142
mmu:26879	ec:2.4.1.79
mmu:14120	ec:3.1.3.11
mmu:20437	ec:2.3.2.27
mmu:20438	ec:2.3.2.27
mmu:13370	ec:1.21.99.4
mmu:66848	ec:3.2.1.51
mmu:12359	ec:1.11.1.6
mmu:15476	ec:2.8.2.23
mmu:15478	ec:2.8.2.30
mmu:54710	ec:2.8.2.30
mmu:18747	ec:2.7.11.11
mmu:18749	ec:2.7.11.11
mmu:19057	ec:3.1.3.16
mmu:18211	ec:2.7.10.1
mmu:18212	ec:2.7.10.1
mmu:11920	ec:2.7.11.1
mmu:19766	ec:2.7.11.1
mmu:16179	ec:2.7.11.1
mmu:108960	ec:2.7.11.1
mmu:108105	ec:2.4.1.206
mmu:234734	ec:6.1.1.7
mmu:20226	ec:6.1.1.11
mmu:11720	ec:2.5.1.6
mmu:110821	ec:6.4.1.3
mmu:110074	ec:3.6.1.23
mmu:227197	ec:7.1.1.2
mmu:227197	ec:1.6.99.3
mmu:226646	ec:7.1.1.2
mmu:226646	ec:1.6.99.3
mmu:12235	ec:2.7.11.1
mmu:12649	ec:2.7.11.1
mmu:19352	ec:2.5.1.60
mmu:52858	ec:2.7.8.11
mmu:21976	ec:5.99.1.2
mmu:74195	ec:2.3.1.48
mmu:73086	ec:2.7.11.1
mmu:67680	ec:1.3.5.1
mmu:75406	ec:7.1.1.2
mmu:75406	ec:1.6.99.3
mmu:225887	ec:7.1.1.2
mmu:225887	ec:1.6.99.3
mmu:17995	ec:7.1.1.2
mmu:17995	ec:1.6.99.3
mmu:216558	ec:2.7.7.9
mmu:110960	ec:6.1.1.3
mmu:72017	ec:1.6.2.2
mmu:68263	ec:1.2.4.1
mmu:216134	ec:2.7.1.35
mmu:22202	ec:6.2.1.45
mmu:20655	ec:1.15.1.1
mmu:19055	ec:3.1.3.16
mmu:19056	ec:3.1.3.16
mmu:75826	ec:3.4.22.68
mmu:225028	ec:2.7.11.1
mmu:26921	ec:2.7.11.1
mmu:26411	ec:2.7.11.1
mmu:18479	ec:2.7.11.1
mmu:224105	ec:2.7.11.1
mmu:26412	ec:2.7.11.1
mmu:26410	ec:2.7.11.25
mmu:69047	ec:3.6.3.8
mmu:50917	ec:3.1.6.4
mmu:26416	ec:2.7.11.24
mmu:17165	ec:2.7.11.1
mmu:102626	ec:2.7.11.1
mmu:17164	ec:2.7.11.1
mmu:217057	ec:3.1.1.29
mmu:14194	ec:4.2.1.2
mmu:56637	ec:2.7.11.26
mmu:71832	ec:2.3.3.1
mmu:16337	ec:2.7.10.1
mmu:22034	ec:2.3.2.27
mmu:65964	ec:2.7.11.25
mmu:13649	ec:2.7.10.1
mmu:230027	ec:2.1.1.114
mmu:230027	ec:2.1.1.64
mmu:13430	ec:3.6.5.5
mmu:19060	ec:3.1.3.16
mmu:223774	ec:2.4.1.260
mmu:19279	ec:3.1.3.48
mmu:319520	ec:3.1.3.16
mmu:319520	ec:3.1.3.48
mmu:235584	ec:3.1.3.16
mmu:235584	ec:3.1.3.48
mmu:18218	ec:3.1.3.16
mmu:18218	ec:3.1.3.48
mmu:240672	ec:3.1.3.16
mmu:240672	ec:3.1.3.48
mmu:11651	ec:2.7.11.1
